FeatureCode,FeatureName,FeatureType,DateCode,Measurement,Units,Value,Breakdown of Scotland's carbon footprint
S92000003,Scotland,Country,1999,Count,Mt Co2Equiv,13.27313715,Scottish emissions generated directly by households
S92000003,Scotland,Country,1998,Count,Mt Co2Equiv,13.3133285,Scottish emissions generated directly by households
S92000003,Scotland,Country,2000,Count,Mt Co2Equiv,13.12037813,Scottish emissions generated directly by households
S92000003,Scotland,Country,2017,Count,Mt Co2Equiv,12.09841469,Emissions embedded in imports direct to Scottish final consumption
S92000003,Scotland,Country,2016,Count,Mt Co2Equiv,11.81106333,Emissions embedded in imports direct to Scottish final consumption
S92000003,Scotland,Country,2018,Count,Mt Co2Equiv,12.66521584,Emissions embedded in imports direct to Scottish final consumption
S92000003,Scotland,Country,2005,Count,Mt Co2Equiv,13.64894327,Scottish emissions generated directly by households
S92000003,Scotland,Country,2004,Count,Mt Co2Equiv,13.38916227,Scottish emissions generated directly by households
S92000003,Scotland,Country,2006,Count,Mt Co2Equiv,13.56264318,Scottish emissions generated directly by households
S92000003,Scotland,Country,2002,Count,Mt Co2Equiv,13.28220633,Scottish emissions generated directly by households
S92000003,Scotland,Country,2001,Count,Mt Co2Equiv,13.70990642,Scottish emissions generated directly by households
S92000003,Scotland,Country,2003,Count,Mt Co2Equiv,13.2080746,Scottish emissions generated directly by households
S92000003,Scotland,Country,2008,Count,Mt Co2Equiv,11.97063593,Emissions embedded in imports direct to Scottish final consumption
S92000003,Scotland,Country,2007,Count,Mt Co2Equiv,14.26059039,Emissions embedded in imports direct to Scottish final consumption
S92000003,Scotland,Country,2009,Count,Mt Co2Equiv,9.988277902,Emissions embedded in imports direct to Scottish final consumption
S92000003,Scotland,Country,2005,Count,Mt Co2Equiv,14.21831758,Emissions embedded in imports direct to Scottish final consumption
S92000003,Scotland,Country,2004,Count,Mt Co2Equiv,13.40608912,Emissions embedded in imports direct to Scottish final consumption
S92000003,Scotland,Country,2006,Count,Mt Co2Equiv,13.73864646,Emissions embedded in imports direct to Scottish final consumption
S92000003,Scotland,Country,2014,Count,Mt Co2Equiv,9.130850829,Emissions embedded in imports direct to Scottish final consumption
S92000003,Scotland,Country,2013,Count,Mt Co2Equiv,8.559543219,Emissions embedded in imports direct to Scottish final consumption
S92000003,Scotland,Country,2015,Count,Mt Co2Equiv,9.584981792,Emissions embedded in imports direct to Scottish final consumption
S92000003,Scotland,Country,2011,Count,Mt Co2Equiv,9.214007446,Emissions embedded in imports direct to Scottish final consumption
S92000003,Scotland,Country,2010,Count,Mt Co2Equiv,9.395744457,Emissions embedded in imports direct to Scottish final consumption
S92000003,Scotland,Country,2012,Count,Mt Co2Equiv,9.14069512,Emissions embedded in imports direct to Scottish final consumption
S92000003,Scotland,Country,2020,Count,Mt Co2Equiv,15.19999099,UK production emissions attributable to Scottish final consumption
S92000003,Scotland,Country,2019,Count,Mt Co2Equiv,12.24514576,Scottish emissions generated directly by households
S92000003,Scotland,Country,2021,Count,Mt Co2Equiv,15.97294016,UK production emissions attributable to Scottish final consumption
S92000003,Scotland,Country,2019,Count,Mt Co2Equiv,13.78057297,"Emissions embedded in imports consumed by UK industry, attributable to Scottish final consumption"
S92000003,Scotland,Country,2019,Count,Mt Co2Equiv,17.32444426,UK production emissions attributable to Scottish final consumption
